ID OMM station;Date;Pression au niveau mer;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Humidité;Pression station;Variation de pression en 24 heures;Précipitations dans les 24 dernières heures;Coordonnees;Température (°C);Température minimale sur 24 heures (°C);Température maximale sur 24 heures (°C);Altitude;communes (code)
07591;2010-01-05T13:00:00+01:00;;;;67;89870.0;;;44.565667,6.502333;1.3000000000000114;;;871;05046
07761;2010-01-05T19:00:00+01:00;99490;60;1.5;94;99380.0;;;41.918,8.792667;11.900000000000034;;;5;2004
07650;2010-01-05T22:00:00+01:00;100010;350;2.1;91;99620.0;;;43.437667,5.216;3.5;;;9;13054
07280;2010-01-06T04:00:00+01:00;100320;180;2.1;91;97500.0;;;47.267833,5.088333;-2.6999999999999886;;;219;21473
07690;2010-01-06T07:00:00+01:00;99740;330;4.6;74;99400.0;;1.8;43.648833,7.209;3.5;;;2;06088
07181;2010-01-06T10:00:00+01:00;100480;260;1.0;90;96180.0;;;48.581,5.959833;-6.599999999999966;;;336;54523
07650;2010-01-07T16:00:00+01:00;100460;40;3.1;50;100070.0;;;43.437667,5.216;6.600000000000023;;;9;13054
07280;2010-01-07T22:00:00+01:00;101190;360;2.6;97;98350.0;;;47.267833,5.088333;-1.8999999999999773;;;219;21473
07481;2010-01-06T19:00:00+01:00;100570;160;1.5;76;97600.0;;;45.7265,5.077833;-1.0;;;235;69299
07690;2010-01-07T07:00:00+01:00;100580;320;6.2;58;100230.0;;0.0;43.648833,7.209;2.3000000000000114;;;2;06088
07650;2010-01-04T19:00:00+01:00;100920;80;5.1;82;100530.0;;;43.437667,5.216;7.100000000000023;;;9;13054
07190;2010-01-05T01:00:00+01:00;101370;20;4.1;78;99450.0;;;48.5495,7.640333;-3.8999999999999773;;;150;67212
07690;2010-03-02T10:00:00+01:00;101930;300;1.5;41;101590.0;;;43.648833,7.209;13.0;;;2;06088
07299;2010-03-01T01:00:00+01:00;100880;260;8.2;74;97600.0;;;47.614333,7.51;7.2000000000000455;;;263;68042
07299;2010-03-01T16:00:00+01:00;101180;280;2.6;45;97930.0;;;47.614333,7.51;11.100000000000023;;;263;68042
07790;2010-03-01T16:00:00+01:00;101130;330;3.6;91;100990.0;;;42.540667,9.485167;12.5;;;10;2b148
07280;2010-03-01T19:00:00+01:00;101420;240;1.0;64;98680.0;;;47.267833,5.088333;8.5;;;219;21473
07790;2010-02-27T22:00:00+01:00;100990;150;1.5;89;100840.0;;;42.540667,9.485167;9.300000000000011;;;10;2b148
07299;2010-02-28T04:00:00+01:00;99040;140;5.1;67;95820.0;;;47.614333,7.51;7.400000000000034;;;263;68042
07790;2010-02-28T10:00:00+01:00;100300;230;2.1;73;100160.0;;;42.540667,9.485167;15.800000000000011;;;10;2b148
